client_id,client_name,inn,manager_id
C0001,ООО Клиент 1,7700000001,M04
C0002,ООО Клиент 2,7700000002,M04
C0003,ООО Клиент 3,7700000003,M04
C0004,ООО Клиент 4,7700000004,M05
C0005,ООО Клиент 5,7700000005,M03
C0006,ООО Клиент 6,7700000006,M06
C0007,ООО Клиент 7,7700000007,M01
C0008,ООО Клиент 8,7700000008,M04
C0009,ООО Клиент 9,7700000009,M02
C0010,ООО Клиент 10,7700000010,M04
C0011,ООО Клиент 11,7700000011,M02
C0012,ООО Клиент 12,7700000012,M06
C0013,ООО Клиент 13,7700000013,M06
C0014,ООО Клиент 14,7700000014,M06
C0015,ООО Клиент 15,7700000015,M02
C0016,ООО Клиент 16,7700000016,M04
C0017,ООО Клиент 17,7700000017,M06
C0018,ООО Клиент 18,7700000018,M05
C0019,ООО Клиент 19,7700000019,M02
C0020,ООО Клиент 20,7700000020,M02
C0021,ООО Клиент 21,7700000021,M04
C0022,ООО Клиент 22,7700000022,M02
C0023,ООО Клиент 23,7700000023,M02
C0024,ООО Клиент 24,7700000024,M06
C0025,ООО Клиент 25,7700000025,M04
C0026,ООО Клиент 26,7700000026,M06
C0027,ООО Клиент 27,7700000027,M06
C0028,ООО Клиент 28,7700000028,M04
C0029,ООО Клиент 29,7700000029,M01
C0030,ООО Клиент 30,7700000030,M06
C0031,ООО Клиент 31,7700000031,M05
C0032,ООО Клиент 32,7700000032,M05
C0033,ООО Клиент 33,7700000033,M02
C0034,ООО Клиент 34,7700000034,M05
C0035,ООО Клиент 35,7700000035,M02
C0036,ООО Клиент 36,7700000036,M01
C0037,ООО Клиент 37,7700000037,M04
C0038,ООО Клиент 38,7700000038,M04
C0039,ООО Клиент 39,7700000039,M04
C0040,ООО Клиент 40,7700000040,M05
